,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
273,353.57,357.97,345.37,346.87,33778398.0,356.4886153053,343.9407577954,345.436,352.1068237939,33778395.0,1.0,0.0,MSFT,XNAS,2023-07-20
274,193.1,198.23,192.65,195.1,80507300.0,197.7082087091,192.1428966746,194.5805,192.5917121613,80507323.0,1.0,0.0,AAPL,XNAS,2023-07-19
275,361.75,362.46,352.435,355.08,39732898.0,360.9600343704,350.9765207563,353.6121,360.2529725583,39732901.0,1.0,0.0,MSFT,XNAS,2023-07-19
276,193.35,194.33,192.42,193.73,48353800.0,193.8184744915,191.9085152538,193.2142,192.8410540983,48353774.0,1.0,0.0,AAPL,XNAS,2023-07-18
277,345.83,366.78,342.17,359.49,64872711.0,365.2621569452,340.7540003325,358.0039,344.3988541806,64872705.0,1.0,0.0,MSFT,XNAS,2023-07-18
278,191.9,194.32,191.81,193.99,50520200.0,193.808500814,191.3051077662,193.4735,191.3948708635,50520159.0,1.0,0.0,AAPL,XNAS,2023-07-17
279,345.678,346.99,342.2,345.73,20363930.0,345.5540537609,340.7838761837,344.3008,344.2474832011,20363927.0,1.0,0.0,MSFT,XNAS,2023-07-17
280,190.23,191.18,189.63,190.69,41573900.0,190.6766663481,189.1308460753,190.1823,189.7292667242,41616242.0,1.0,0.0,AAPL,XNAS,2023-07-14
281,347.59,351.43,344.31,345.24,28352730.0,349.9756797406,342.8851443858,343.8128,346.1515707852,28352729.0,1.0,0.0,MSFT,XNAS,2023-07-14
282,190.5,191.19,189.78,190.54,41342300.0,190.6867397624,189.2804512375,190.0327,189.9985560162,41342338.0,1.0,0.0,AAPL,XNAS,2023-07-13
283,339.56,343.74,339.02,342.66,20567160.0,342.3175032127,337.617035955,341.2434,338.1548012769,20567159.0,1.0,0.0,MSFT,XNAS,2023-07-13
284,189.68,191.7,188.47,189.77,60750200.0,191.1953973139,187.9738994875,189.2647,189.1807144627,60750248.0,1.0,0.0,AAPL,XNAS,2023-07-12
285,336.6,341.652,335.67,337.2,29995260.0,340.2381439682,334.2808992361,335.806,335.2070506237,29995262.0,1.0,0.0,MSFT,XNAS,2023-07-12
286,189.16,189.3,186.6,188.08,46638100.0,188.8017147184,186.1088217985,187.5792,188.6620832337,46638119.0,1.0,0.0,AAPL,XNAS,2023-07-11
287,331.06,332.86,327.0,332.47,26698221.0,331.482527839,325.6467782352,331.0956,329.6899767662,26698218.0,1.0,0.0,MSFT,XNAS,2023-07-11
288,189.26,189.99,187.04,188.61,59922200.0,189.4898984646,186.542676769,188.1078,188.7618200085,59922163.0,1.0,0.0,AAPL,XNAS,2023-07-10
289,334.6,335.23,327.59,331.83,32791449.0,333.8427200849,326.2343366424,330.4582,333.2153272094,32791449.0,1.0,0.0,MSFT,XNAS,2023-07-10
290,191.41,192.67,190.24,190.68,46778000.0,192.1628440296,189.7392404017,190.1723,190.906160667,46814998.0,1.0,0.0,AAPL,XNAS,2023-07-07
291,339.32,341.79,337.0,337.22,21214820.0,340.3755728838,335.6053953066,335.8259,337.9157944671,21214824.0,1.0,0.0,MSFT,XNAS,2023-07-07
292,189.84,192.02,189.2,191.81,45094300.0,191.5145549933,188.7019779436,191.2993,189.3402933024,45156009.0,1.0,0.0,AAPL,XNAS,2023-07-06
293,337.3,342.99,335.5,341.27,28195529.0,341.5706069324,334.1116027459,339.8592,335.9041538187,28195534.0,1.0,0.0,MSFT,XNAS,2023-07-06
294,191.57,192.98,190.62,191.33,46920300.0,192.4720280315,190.118240146,190.8206,191.0607526679,46920261.0,1.0,0.0,AAPL,XNAS,2023-07-05
295,335.09,341.65,334.7276,338.15,18172381.0,340.2361522448,333.3423991633,336.7521,333.7032994459,18172378.0,1.0,0.0,MSFT,XNAS,2023-07-05
296,193.78,193.88,191.76,192.46,31458200.0,193.3696590048,191.2552393788,191.9476,193.26992223,31458198.0,1.0,0.0,AAPL,XNAS,2023-07-03
297,339.19,340.9,336.571,337.99,12484240.0,339.4892559644,335.1781706342,336.5928,337.7863324452,12508692.0,1.0,0.0,MSFT,XNAS,2023-07-03
298,191.63,194.48,191.26,193.97,85069600.0,193.9680796537,190.7565555048,193.4536,191.1255815716,85213216.0,1.0,0.0,AAPL,XNAS,2023-06-30
299,337.75,342.73,337.2,340.54,26832760.0,341.3116828885,335.804567648,339.1322,336.3522915869,26832756.0,1.0,0.0,MSFT,XNAS,2023-06-30
300,189.08,190.07,188.94,189.59,46347300.0,189.5696878845,188.4426623291,189.0852,188.5822938139,46347308.0,1.0,0.0,AAPL,XNAS,2023-06-29
301,334.71,336.11,332.62,335.05,16997039.0,334.7190783872,331.2435210293,333.6649,333.3248719972,16997042.0,1.0,0.0,MSFT,XNAS,2023-06-29
302,187.93,189.9,187.6,189.25,51216800.0,189.4001353673,187.1061895466,188.7461,187.4353209035,51216801.0,1.0,0.0,AAPL,XNAS,2023-06-28
303,334.66,337.98,333.81,335.85,20259520.0,336.5813397796,332.4285964608,334.4616,333.2750789119,20259523.0,1.0,0.0,MSFT,XNAS,2023-06-28
304,185.89,188.39,185.67,188.06,50730800.0,187.8941100677,185.1812697928,187.5593,185.4006906974,50730846.0,1.0,0.0,AAPL,XNAS,2023-06-27
305,331.86,336.15,329.3,334.57,24354109.0,334.7589128555,327.9372601616,333.1869,330.4866661319,24354110.0,1.0,0.0,MSFT,XNAS,2023-06-27
306,186.83,188.05,185.23,185.27,48088700.0,187.5550050333,184.7424279836,184.7767,186.3382163806,48088661.0,1.0,0.0,AAPL,XNAS,2023-06-26
307,333.72,336.11,328.49,328.6,21520580.0,334.7190783872,327.1306121788,327.2416,332.3389689072,21520582.0,1.0,0.0,MSFT,XNAS,2023-06-26
308,185.55,187.56,185.01,186.68,53079300.0,187.0662948367,184.523007079,186.183,185.061585663,53116996.0,1.0,0.0,AAPL,XNAS,2023-06-23
309,334.36,337.96,333.45,335.02,23146900.0,336.5614225454,332.0700862462,333.635,332.9763203997,23146901.0,1.0,0.0,MSFT,XNAS,2023-06-23
310,183.74,187.05,183.67,187.0,51245300.0,186.5526504464,183.1865342965,186.5021,183.2563500389,51245327.0,1.0,0.0,AAPL,XNAS,2023-06-22
311,334.12,340.12,333.34,339.71,23556760.0,338.7124838329,331.9605414584,338.3056,332.73731359,23556764.0,1.0,0.0,MSFT,XNAS,2023-06-22
312,184.9,185.41,182.59,183.96,49515700.0,184.9219541783,182.1094768654,183.4702,184.4132966267,49515697.0,1.0,0.0,AAPL,XNAS,2023-06-21
313,336.37,337.73,332.07,333.56,25117801.0,336.3323743528,330.6957970904,332.1811,334.9780024311,25117799.0,1.0,0.0,MSFT,XNAS,2023-06-21
314,184.41,186.1,184.41,185.01,49799100.0,185.6101379245,183.9245864302,184.5174,183.9245864302,49799092.0,1.0,0.0,AAPL,XNAS,2023-06-20
315,339.31,342.08,335.86,338.05,26375410.0,340.6643727789,334.4701129604,336.6525,337.9058358501,26375407.0,1.0,0.0,MSFT,XNAS,2023-06-20
316,186.73,186.99,184.27,184.92,101235600.0,186.4977952203,183.7849549454,184.4277,186.2384796058,101256225.0,1.0,0.0,AAPL,XNAS,2023-06-16
317,351.32,351.47,341.95,342.33,46551992.0,350.0155142089,340.5349107569,340.9148,349.8661349528,46551985.0,1.0,0.0,MSFT,XNAS,2023-06-16
318,183.96,186.52,183.78,186.01,65433200.0,186.0290323787,183.2962447488,185.5148,183.4757709435,65433166.0,1.0,0.0,AAPL,XNAS,2023-06-15
319,337.48,349.84,337.2,348.1,38899078.0,348.3922596263,335.804567648,346.661,336.083408926,38899075.0,1.0,0.0,MSFT,XNAS,2023-06-15
320,183.37,184.39,182.02,183.95,57462900.0,183.9046390752,181.5408775122,183.4602,182.8873239721,57462882.0,1.0,0.0,AAPL,XNAS,2023-06-14
321,334.34,339.04,332.81,337.34,26003789.0,337.6369531891,331.4327347537,335.9454,332.9564031656,26003791.0,1.0,0.0,MSFT,XNAS,2023-06-14
322,182.8,184.15,182.44,183.31,54929100.0,183.6652708156,181.9597719664,182.8219,182.3188243557,54929129.0,1.0,0.0,AAPL,XNAS,2023-06-13
323,334.465,336.98,330.39,334.29,22951279.0,335.5854780724,329.0227494224,332.908,333.080885879,22951279.0,1.0,0.0,MSFT,XNAS,2023-06-13
324,181.27,183.89,180.97,183.79,54274900.0,183.4059552011,180.4936413766,183.3007,180.7928517011,54754995.0,1.0,0.0,AAPL,XNAS,2023-06-12
325,328.58,332.0999,325.16,331.85,24306750.0,330.7255733554,323.814392694,330.4781,327.2202397325,24306753.0,1.0,0.0,MSFT,XNAS,2023-06-12
326,181.5,182.23,180.63,180.96,48870700.0,181.7503247393,180.1545363423,180.4782,181.0222462831,48899973.0,1.0,0.0,AAPL,XNAS,2023-06-09
327,324.99,329.99,324.41,326.79,22528949.0,328.6244047395,323.0674964137,325.4391,323.6450962038,22528950.0,1.0,0.0,MSFT,XNAS,2023-06-09
328,177.9,180.84,177.46,180.57,50214900.0,180.3639835694,176.9928805807,180.0892,177.4267355512,50214881.0,1.0,0.0,AAPL,XNAS,2023-06-08
329,323.935,326.64,323.35,325.26,23277711.0,325.2882680206,322.0118830041,323.9154,322.5944621028,23277708.0,1.0,0.0,MSFT,XNAS,2023-06-08
330,178.44,181.21,177.32,177.82,61944600.0,180.7330096362,176.853249096,177.3466,177.9703009739,61944615.0,1.0,0.0,AAPL,XNAS,2023-06-07
331,331.65,334.49,322.5,323.38,40717129.0,333.1057824217,321.165400553,322.0432,330.2775351734,40717129.0,1.0,0.0,MSFT,XNAS,2023-06-07
332,179.97,180.12,177.43,179.21,64848400.0,179.6458787907,176.9629595483,178.7329,179.4912867898,64848374.0,1.0,0.0,AAPL,XNAS,2023-06-06
333,335.33,335.37,332.17,333.68,20396221.0,333.9821407239,330.7953832611,332.3006,333.9423062557,20396223.0,1.0,0.0,MSFT,XNAS,2023-06-06
334,182.63,184.95,178.04,179.58,121946500.0,184.4641623819,177.5663670359,179.1019,182.1492718385,121946497.0,1.0,0.0,AAPL,XNAS,2023-06-05
335,335.22,338.5599,334.6601,335.94,21307051.0,337.1588399835,333.275178498,334.5512,333.8327614679,21307053.0,1.0,0.0,MSFT,XNAS,2023-06-05
336,181.03,181.78,179.26,180.95,61945900.0,181.3015092526,178.7881425274,180.4682,180.5534834415,61996913.0,1.0,0.0,AAPL,XNAS,2023-06-02
337,334.247,337.5,332.55,335.4,25873770.0,336.1033261602,331.1738107098,334.0135,332.8637880268,25873769.0,1.0,0.0,MSFT,XNAS,2023-06-02
338,177.7,180.12,176.93,180.09,68901800.0,179.6458787907,176.4648740949,179.6105,177.2322488403,68901809.0,1.0,0.0,AAPL,XNAS,2023-06-01
